Metropolitan Core Based Statistical Area FIPS Code,Household-type of living quarters,Household-own/rent living quarters,Household-total family income in past 12 months,Demographics-highest level of school completed,Labor Force-employment status,Demographics-sex,Demographics-marital status,Weight-composited final weight,Household-total # of members,Weight-family,Weight-longitudinal weight,Weight-outgoing rotation weight,Weight-second stage weight (rake 6 final step weight),Year,Month
"Allentown-Bethlehem-Easton, PA-NJ","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Some College But No Degree,Other-Not In Labor Force,Male,Never Married,5163.9161,4,5390.1294,8065.8436,0.0000,5390.1294,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Married - Spouse Present,2120.5429,2,2081.1365,0.0000,0.0000,2081.1365,2022,jan
"Seattle-Tacoma-Bellevue, WA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"10,000 To 12,499",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Widowed,3298.6508,1,3265.1453,0.0000,0.0000,3265.1453,2022,jan
0,"House, Apartment, Flat",Not in Universe,"50,000 To 59,999",Some College But No Degree,Other-Not In Labor Force,Male,Never Married,2490.0752,4,2418.8751,0.0000,9602.7660,2418.8751,2024,jan
"Boise City, ID","House, Apartment, Flat",Not in Universe,"20,000 To 24,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Divorced,759.4096,1,754.3689,0.0000,0.0000,754.3689,2024,jan
"Nashville-Davidson--Murfreesboro--Franklin, TN","House, Apartment, Flat",Rented for cash,"30,000 To 34,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,5,3984.3157,0.0000,0.0000,3984.3157,2023,jan
"San Francisco-Oakland-Hayward, CA","House, Apartment, Flat",Rented for cash,"40,000 To 49,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,2,7039.7897,0.0000,0.0000,7039.7897,2022,jan
"Kahului-Wailuku-Lahaina, HI","House, Apartment, Flat",Rented for cash,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,1010.0102,4,914.1625,0.0000,4048.3786,978.9124,2023,jan
"Billings, MT","House, Apartment, Flat",Not in Universe,"150,000 or More",Associate Degree-Occupational/Vocationl,Employed-At Work,Male,Married - Spouse Present,560.1274,3,601.2398,844.3879,2216.8901,569.7071,2024,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Not in Universe,"150,000 or More",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,701.5173,0.0000,0.0000,701.5173,2024,jan
0,"House, Apartment, Flat",Not in Universe,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,608.1857,2,617.4729,916.8985,2415.6752,617.4729,2024,jan
0,"House, Apartment, Flat",Not in Universe,"150,000 or More",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Married - Spouse Present,610.6934,4,618.0924,0.0000,0.0000,618.0924,2024,jan
"Dallas-Fort Worth-Arlington, TX","House, Apartment, Flat",Not in Universe,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Married - Spouse Present,4637.3814,5,4632.9205,0.0000,0.0000,4632.9205,2024,jan
"Goldsboro, NC","House, Apartment, Flat",Rented for cash,"50,000 To 59,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,5965.6681,0.0000,0.0000,5965.6681,2023,jan
"San Francisco-Oakland-Hayward, CA","House, Apartment, Flat",Rented for cash,"50,000 To 59,999","Bachelor's Degree(ex:ba,ab,bs)",Unemployed-Looking,Female,Divorced,3645.2419,1,3865.2404,5785.7431,15247.5257,3865.2404,2022,jan
"Binghamton, NY","House, Apartment, Flat",Not in Universe,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,3789.1265,2,3714.9594,5516.4212,0.0000,3714.9594,2024,jan
"Fayetteville-Springdale-Rogers, AR-MO","House, Apartment, Flat",Rented for cash,"30,000 To 34,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,1639.3972,0.0000,0.0000,1639.3972,2023,jan
"San Francisco-Oakland-Hayward, CA","House, Apartment, Flat",Not in Universe,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,3461.2017,2,3491.0030,5183.8637,0.0000,3491.0030,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",Some College But No Degree,Retired-Not In Labor Force,Male,Married - Spouse Present,790.7180,2,836.1503,1200.0507,0.0000,801.9531,2022,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Not in Universe,"15,000 To 19,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,4333.9082,2,4321.5425,0.0000,0.0000,4321.5425,2024,jan
"Las Cruces, NM","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Male,Married - Spouse Present,978.0263,5,1088.1267,1445.5975,0.0000,975.3441,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Some College But No Degree,Retired-Not In Labor Force,Female,Married - Spouse Present,836.0685,4,856.7230,1270.7593,0.0000,856.7230,2023,jan
"Urban Honolulu, HI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Male,Married - Spouse Present,926.9629,6,1042.5857,1497.3110,0.0000,1000.6021,2022,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,3756.2927,2,3161.2746,0.0000,0.0000,3784.1878,2023,jan
"Waterloo-Cedar Falls, IA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,2187.8067,4,2118.9213,3253.3782,0.0000,2174.1222,2022,jan
0,Mobile Home Or Trlr W/No Perm Rm Added,Owned Or Being Bought By A Hh Member,"35,000 To 39,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,3842.5019,5,3446.7787,5717.0290,0.0000,3857.2774,2023,jan
"Omaha-Council Bluffs, NE-IA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,1270.6225,4,1444.5754,1879.9225,5174.8159,1268.3830,2023,jan
"York-Hanover, PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,4396.4003,3,4386.8678,0.0000,0.0000,4386.8678,2023,jan
"Memphis, TN-MS-AR","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Other-Not In Labor Force,Male,Married - Spouse Present,1742.6309,2,1597.7146,0.0000,0.0000,1824.0792,2022,jan
"Knoxville, TN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"35,000 To 39,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Divorced,3278.1412,1,3393.2132,5079.1822,0.0000,3393.2132,2022,jan
"Elkhart-Goshen, IN","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,3310.6397,3,3234.8700,4798.2148,0.0000,3234.8700,2023,jan
"Salisbury, MD-DE","House, Apartment, Flat",Not in Universe,"60,000 To 74,999",Some College But No Degree,Retired-Not In Labor Force,Male,Married-Spouse Absent,656.1067,1,645.7022,957.0237,0.0000,645.7022,2024,jan
"Springfield, IL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,3431.1963,0.0000,0.0000,3431.1963,2023,jan
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,829.7321,2,733.9894,1216.6714,0.0000,820.8878,2023,jan
0,"House, Apartment, Flat",Not in Universe,"150,000 or More",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,3,1900.5572,0.0000,0.0000,1900.5572,2024,jan
"Seattle-Tacoma-Bellevue, WA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",9th Grade,Other-Not In Labor Force,Female,Never Married,0.0000,4,5632.8352,0.0000,0.0000,5632.8352,2023,jan
"Denver-Aurora-Lakewood, CO","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",Associate Deg.-Academic Program,Other-Not In Labor Force,Female,Never Married,4702.7403,4,4721.3144,7010.7790,0.0000,4721.3144,2024,jan
"Miami-Fort Lauderdale-West Palm Beach, FL","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Married - Spouse Present,5352.6175,3,5368.3726,0.0000,0.0000,5368.3726,2024,jan
"Salt Lake City, UT","House, Apartment, Flat",Not in Universe,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,1689.8096,4,1738.8479,2582.0518,0.0000,1738.8479,2024,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Rented for cash,"40,000 To 49,999",9th Grade,Employed-At Work,Male,Never Married,4003.2883,3,4446.8798,6590.9029,19351.8157,4446.8798,2023,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Not in Universe,"150,000 or More",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,5,3910.0093,0.0000,0.0000,3910.0093,2024,jan
0,"House, Apartment, Flat",Not in Universe,"75,000 To 99,999",Some College But No Degree,Employed-At Work,Female,Never Married,850.6756,4,829.7214,1232.0707,0.0000,829.7214,2024,jan
"Ogden-Clearfield, UT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,6,2284.9286,0.0000,0.0000,2284.9286,2023,jan
"Detroit-Warren-Dearborn, MI","House, Apartment, Flat",Rented for cash,"40,000 To 49,999",Some College But No Degree,Employed-At Work,Female,Never Married,5744.6894,3,5528.4003,8275.2689,0.0000,5528.4003,2022,jan
0,"House, Apartment, Flat",Rented for cash,"Less Than $5,000",Some College But No Degree,Employed-At Work,Female,Never Married,2282.8785,3,2260.1093,0.0000,0.0000,2260.1093,2022,jan
"Springfield, MA","House, Apartment, Flat",Not in Universe,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Female,Married - Spouse Present,3040.6986,2,2918.6477,4333.9612,12047.6612,2918.6477,2024,jan
"Houston-The Woodlands-Sugar Land, TX","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Some College But No Degree,Employed-At Work,Male,Married - Spouse Present,4641.7158,7,5306.7625,0.0000,0.0000,4684.4461,2022,jan
"Wichita, KS","House, Apartment, Flat",Rented for cash,"40,000 To 49,999",Some College But No Degree,Employed-At Work,Male,Divorced,2707.5538,1,2763.8753,4135.8906,0.0000,2763.8753,2022,jan
0,Mobile Home Or Trlr W/No Perm Rm Added,Owned Or Being Bought By A Hh Member,"7,500 To 9,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,207.2121,0.0000,0.0000,207.2121,2022,jan
"St. Louis, MO-IL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",Some College But No Degree,Employed-At Work,Female,Married - Spouse Present,5750.8143,3,5734.9409,0.0000,0.0000,5734.9409,2022,jan
"Daphne-Fairhope-Foley, AL",Mobile Home Or Trlr W/No Perm Rm Added,Rented for cash,"35,000 To 39,999",10th Grade,Other-Not In Labor Force,Male,Married - Spouse Present,2253.8433,6,2378.9221,3289.3806,8678.3156,2198.1814,2022,jan
"Manchester-Nashua, NH","House, Apartment, Flat",Not in Universe,"100,000 To 149,999","Professional School Deg(ex:md,dds,dvm)",Employed-At Work,Female,Never Married,1027.4347,1,1013.9618,1505.6532,0.0000,1013.9618,2024,jan
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","House, Apartment, Flat",Not in Universe,"35,000 To 39,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Female,Never Married,686.0895,1,676.8273,1005.0350,2718.3797,676.8273,2024,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Some College But No Degree,Employed-At Work,Male,Never Married,5579.9946,4,5373.2145,0.0000,0.0000,5373.2145,2023,jan
"Detroit-Warren-Dearborn, MI","House, Apartment, Flat",Not in Universe,"75,000 To 99,999","Professional School Deg(ex:md,dds,dvm)",Retired-Not In Labor Force,Male,Widowed,3925.2051,1,3953.3257,5859.3980,0.0000,3953.3257,2024,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,5,10239.7655,0.0000,0.0000,10239.7655,2022,jan
"Stockton-Lodi, CA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,6,5824.8704,0.0000,0.0000,5824.8704,2023,jan
"Seattle-Tacoma-Bellevue, WA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,3542.7226,4,3545.8017,5307.5864,0.0000,3545.8017,2022,jan
"Billings, MT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,796.0137,2,811.8982,1173.3845,3212.8512,791.6821,2023,jan
"Omaha-Council Bluffs, NE-IA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,1537.2926,2,1809.6622,2237.4690,0.0000,1495.2245,2022,jan
"Dallas-Fort Worth-Arlington, TX","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Married - Spouse Present,4653.2564,2,4718.1811,6998.3790,0.0000,4718.1811,2023,jan
"New Haven-Milford, CT","House, Apartment, Flat",Rented for cash,"10,000 To 12,499",5th Or 6th Grade,Disabled-Not In Labor Force,Male,Never Married,3805.6762,1,3851.9117,5764.0392,0.0000,3851.9117,2022,jan
0,"House, Apartment, Flat",Rented for cash,"20,000 To 24,999",Associate Deg.-Academic Program,Retired-Not In Labor Force,Female,Widowed,439.1444,1,439.8760,0.0000,0.0000,439.8760,2022,jan
"Naples-Immokalee-Marco Island, FL",Mobile Home Or Trlr W/No Perm Rm Added,Not in Universe,"100,000 To 149,999",11th Grade,Other-Not In Labor Force,Female,Never Married,4547.9544,5,4482.8100,6656.6187,17714.3278,4482.8100,2024,jan
"Houston-The Woodlands-Sugar Land, TX","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"25,000 To 29,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Married - Spouse Present,3941.0578,2,3990.2801,5972.9107,0.0000,3990.2801,2022,jan
"Omaha-Council Bluffs, NE-IA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Female,Married - Spouse Present,1576.5317,2,1549.9874,2320.1218,0.0000,1549.9874,2022,jan
"Augusta-Richmond County, GA-SC",Mobile Home Or Trlr W/No Perm Rm Added,Not in Universe,"100,000 To 149,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Male,Married - Spouse Present,4108.9993,2,3107.7171,5980.9844,0.0000,4035.3599,2024,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"Less Than $5,000",High School Grad-Diploma Or Equiv (ged),Disabled-Not In Labor Force,Male,Never Married,991.2799,1,997.2858,0.0000,0.0000,997.2858,2022,jan
"Austin-Round Rock, TX","House, Apartment, Flat",Not in Universe,"40,000 To 49,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,5,3975.6890,0.0000,0.0000,3975.6890,2024,jan
"Austin-Round Rock, TX","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Married - Spouse Present,5243.7505,2,5266.0743,0.0000,0.0000,5266.0743,2022,jan
"Medford, OR","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Female,Married - Spouse Present,2296.3719,2,2263.7932,3357.8369,9184.3119,2263.7932,2023,jan
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","House, Apartment, Flat",Not in Universe,"60,000 To 74,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,5,788.1553,0.0000,0.0000,788.1553,2024,jan
"Knoxville, TN","House, Apartment, Flat",Occupied without payment of cash rent,"25,000 To 29,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,5,3417.8828,0.0000,0.0000,3417.8828,2022,jan
"Raleigh, NC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"10,000 To 12,499",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,5356.9389,0.0000,0.0000,5356.9389,2022,jan
"Phoenix-Mesa-Scottsdale, AZ","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Some College But No Degree,Retired-Not In Labor Force,Female,Married - Spouse Present,4217.7810,2,4196.0230,0.0000,16868.9647,4196.0230,2023,jan
"Tucson, AZ","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,3,5805.2617,0.0000,0.0000,5805.2617,2022,jan
"Worcester, MA-CT",Mobile Home Or Trlr W/No Perm Rm Added,Owned Or Being Bought By A Hh Member,"20,000 To 24,999",High School Grad-Diploma Or Equiv (ged),Retired-Not In Labor Force,Male,Married - Spouse Present,2787.6502,2,3182.6655,4114.4406,0.0000,2776.0116,2023,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Not in Universe,"150,000 or More","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Retired-Not In Labor Force,Female,Married - Spouse Present,3430.0479,2,3450.8770,5124.2798,0.0000,3450.8770,2024,jan
"Urban Honolulu, HI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,6,1044.9002,0.0000,0.0000,1044.9002,2023,jan
0,"House, Apartment, Flat",Rented for cash,"60,000 To 74,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,4,257.2527,0.0000,0.0000,257.2527,2022,jan
"Reading, PA","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More","Professional School Deg(ex:md,dds,dvm)",Employed-At Work,Female,Married - Spouse Present,3584.6833,5,3640.1395,5399.3425,14391.0088,3640.1395,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Other-Not In Labor Force,Female,Married - Spouse Present,2055.7273,4,2024.8433,3003.4075,8100.1842,2024.8433,2023,jan
0,"House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Divorced,1847.0297,4,1848.1994,0.0000,0.0000,1848.1994,2022,jan
0,"House, Apartment, Flat",Not in Universe,"40,000 To 49,999",Some College But No Degree,Employed-At Work,Female,Never Married,626.4709,3,632.7204,0.0000,0.0000,632.7204,2024,jan
"Auburn-Opelika, AL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Widowed,1571.9738,1,1547.8412,2295.8804,0.0000,1547.8412,2023,jan
"Auburn-Opelika, AL",Mobile Home Or Trlr W/No Perm Rm Added,Owned Or Being Bought By A Hh Member,"75,000 To 99,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Married - Spouse Present,2496.9990,4,2488.9461,3725.6163,0.0000,2488.9461,2022,jan
"Virginia Beach-Norfolk-Newport News, VA-NC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"50,000 To 59,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Never Married,6350.1807,4,6306.9040,9347.7210,27466.7222,6306.9040,2023,jan
"Minneapolis-St. Paul-Bloomington, MN-WI","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Associate Deg.-Academic Program,Disabled-Not In Labor Force,Male,Married - Spouse Present,4064.0561,2,3654.2844,5617.9681,0.0000,3790.4411,2023,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Not in Universe,"150,000 or More","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,4529.9971,4,4698.8611,6697.9666,0.0000,4519.1065,2024,jan
"New Haven-Milford, CT","House, Apartment, Flat",Rented for cash,"20,000 To 24,999",7th Or 8th Grade,Employed-At Work,Female,Married - Spouse Present,3772.2852,2,3745.7517,0.0000,0.0000,3745.7517,2022,jan
"Hartford-West Hartford-East Hartford, CT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-Absent,Female,Married - Spouse Present,3380.0562,4,3379.2423,0.0000,0.0000,3379.2423,2023,jan
0,Mobile Home Or Trlr W/No Perm Rm Added,Not in Universe,"12,500 To 14,999",10th Grade,Retired-Not In Labor Force,Male,Married - Spouse Present,726.2943,2,691.2918,1063.1101,0.0000,717.2786,2024,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Rented for cash,"30,000 To 34,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,7262.4244,0.0000,0.0000,7262.4244,2022,jan
"Portland-South Portland, ME","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"150,000 or More",10th Grade,Employed-At Work,Female,Never Married,1867.8057,5,1964.9265,2914.5342,0.0000,1964.9265,2023,jan
"Mount Vernon-Anacortes, WA",Mobile Home Or Trlr W/No Perm Rm Added,Rented for cash,"Less Than $5,000",9th Grade,Other-Not In Labor Force,Male,Never Married,3732.7540,5,3650.3044,5462.3519,14824.2218,3650.3044,2022,jan
"Jacksonville, NC","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Male,Married - Spouse Present,4277.9285,4,4615.9085,0.0000,0.0000,4225.5137,2022,jan
"Corpus Christi, TX","House, Apartment, Flat",Not in Universe,"Less Than $5,000",Some College But No Degree,Other-Not In Labor Force,Female,Never Married,5588.9394,3,5724.3392,8500.1914,0.0000,5724.3392,2024,jan
"Boston-Cambridge-Newton, MA-NH","House, Apartment, Flat",Rented for cash,"35,000 To 39,999",5th Or 6th Grade,Retired-Not In Labor Force,Female,Married - Spouse Present,4293.3964,4,4238.1567,6343.9484,0.0000,4238.1567,2022,jan
"Raleigh, NC","House, Apartment, Flat",Not in Universe,"100,000 To 149,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,2778.6401,0.0000,0.0000,2778.6401,2024,jan
"Boise City, ID","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,4,985.9104,0.0000,0.0000,985.9104,2023,jan
"Greenville-Anderson-Mauldin, SC","House, Apartment, Flat",Not in Universe,"50,000 To 59,999","Bachelor's Degree(ex:ba,ab,bs)",Retired-Not In Labor Force,Female,Widowed,2467.2007,1,2428.7902,3606.5616,0.0000,2428.7902,2024,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Rented for cash,"60,000 To 74,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,3,3765.4346,0.0000,0.0000,3765.4346,2022,jan
"Tallahassee, FL","House, Apartment, Flat",Rented for cash,"30,000 To 34,999",Not in Universe,Not in Universe,Male,Not in Universe,0.0000,6,5009.9422,0.0000,0.0000,5009.9422,2022,jan
"Washington-Arlington-Alexandria, DC-VA-MD-WV","House, Apartment, Flat",Rented for cash,"75,000 To 99,999","Bachelor's Degree(ex:ba,ab,bs)",Employed-At Work,Female,Never Married,372.9863,1,378.4147,0.0000,0.0000,378.4147,2022,jan
"Los Angeles-Long Beach-Anaheim, CA","House, Apartment, Flat",Not in Universe,"30,000 To 34,999",Not in Universe,Not in Universe,Female,Not in Universe,0.0000,3,3321.2042,0.0000,0.0000,3321.2042,2024,jan
0,"House, Apartment, Flat",Rented for cash,"30,000 To 34,999",Associate Degree-Occupational/Vocationl,Employed-At Work,Male,Never Married,4118.2648,3,4116.6858,0.0000,0.0000,4116.6858,2023,jan
0,Mobile Home Or Trlr W/No Perm Rm Added,Not in Universe,"60,000 To 74,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Male,Married - Spouse Present,3858.7073,4,3933.7943,5661.0991,15453.3202,3819.5338,2024,jan
"Salt Lake City, UT","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"100,000 To 149,999",Some College But No Degree,Unemployed-Looking,Male,Never Married,1766.3306,3,1833.4765,2743.6326,0.0000,1833.4765,2022,jan
0,"House, Apartment, Flat",Not in Universe,"75,000 To 99,999","MASTER'S DEGREE(EX:MA,MS,MEng,MEd,MSW)",Employed-At Work,Male,Married - Spouse Present,1835.3928,3,1920.6539,2690.3910,7264.1765,1815.2022,2024,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Rented for cash,"100,000 To 149,999",High School Grad-Diploma Or Equiv (ged),Employed-At Work,Female,Never Married,7450.7570,3,7587.8206,11254.8549,0.0000,7587.8206,2023,jan
"Orlando-Kissimmee-Sanford, FL","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Associate Degree-Occupational/Vocationl,Employed-At Work,Male,Married - Spouse Present,4902.4056,4,3742.9179,7244.6014,0.0000,4841.3211,2022,jan
"New York-Newark-Jersey City, NY-NJ-PA","House, Apartment, Flat",Rented for cash,"20,000 To 24,999",5th Or 6th Grade,Other-Not In Labor Force,Female,Married - Spouse Present,6193.6377,2,6181.5240,9168.9247,24404.7969,6181.5240,2023,jan
"Denver-Aurora-Lakewood, CO","House, Apartment, Flat",Owned Or Being Bought By A Hh Member,"60,000 To 74,999",Some College But No Degree,Disabled-Not In Labor Force,Male,Married - Spouse Present,3872.3716,5,4369.9369,5642.9520,0.0000,3807.2977,2023,jan
